,_id,_rev,Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row
0,00a236e7cdc1b52bc70cd23b24010c08,1-63c513ba692f238fb3fc265d17f19367,2018-4-25,Sé,-23.55,-46.6333,195177,15,50,3,32,32,41,23,16,REABASTECER,3715
1,00a236e7cdc1b52bc70cd23b2409d3f3,1-9f1448d0d66c9d8fccee0a5f4694c2e3,2018-8-25,Sé,-23.55,-46.6333,193211,49,59,7,14,23,4,3,21,NORMAL,3835
2,00a236e7cdc1b52bc70cd23b240eb891,1-497463d046b6a8c01fcc2abca60768e8,2018-4-25,Brás,-23.5451,-46.6162,73326,73,52,57,19,17,27,3,5,NORMAL,4435
3,00a236e7cdc1b52bc70cd23b240fe82d,1-f205c6f1188574f71aec8f1f9d9a2597,2018-5-12,Brás,-23.5451,-46.6162,71379,4,14,13,39,30,25,18,20,REABASTECER,4452
4,00a236e7cdc1b52bc70cd23b2412997c,1-2cf54818b00b8b95c8936f2d54f12bf5,2018-12-26,Sé,-23.55,-46.6333,194158,29,15,65,19,43,17,10,38,NORMAL,3956
5,00a236e7cdc1b52bc70cd23b24140a8f,1-f305fdf7d95404537305d5475bf6e6e5,2019-9-30,Sé,-23.55,-46.6333,193482,22,53,46,19,39,2,8,20,NORMAL,4230
6,00a236e7cdc1b52bc70cd23b24187625,1-725e4edebc116778e0b918609135b90c,2019-3-16,Sé,-23.55,-46.6333,192066,58,14,46,14,12,11,43,8,NORMAL,4036
7,00a236e7cdc1b52bc70cd23b24280cce,1-5fd00fddad6fec4915b3501ed269fb30,2019-10-4,Sé,-23.55,-46.6333,194212,73,29,14,9,27,37,38,43,NORMAL,4234
8,00a236e7cdc1b52bc70cd23b2430e94c,1-fcd6ee7d3952a59dc602c723a5a08193,2019-7-11,Brás,-23.5451,-46.6162,70522,10,8,65,42,6,33,34,4,REABASTECER,4871
9,00a236e7cdc1b52bc70cd23b243de630,1-00ea8d413269edea01ec4fdc8dd6a9ca,2019-3-23,Brás,-23.5451,-46.6162,70815,55,21,32,32,20,30,43,40,NORMAL,4763
10,00a236e7cdc1b52bc70cd23b24418c36,1-f1f84fb338267c104d4f5ea09592142a,2019-5-18,Brás,-23.5451,-46.6162,70911,15,37,37,36,43,31,22,39,NORMAL,4818
11,00a236e7cdc1b52bc70cd23b24487552,1-a2437e89e5363bdca9a7973c13236b41,2019-8-22,Brás,-23.5451,-46.6162,71138,49,20,38,8,4,26,39,17,NORMAL,4912
12,00a236e7cdc1b52bc70cd23b244df889,1-2a8594ae7e7e870367c3ca913f3ccbab,2019-2-13,Brás,-23.5451,-46.6162,72594,10,55,48,20,11,24,29,9,NORMAL,4723
13,00a236e7cdc1b52bc70cd23b24508cf3,1-c23ac60a77370ee58a88430fd3df91c9,2018-9-27,Barra Funda,-23.5542,-46.6707,150057,54,28,60,9,26,8,6,37,NORMAL,5307
14,00a236e7cdc1b52bc70cd23b24539ad3,1-5fae4511480eb72445ba9b44533525ba,2018-11-3,Barra Funda,-23.5542,-46.6707,149768,86,8,35,38,17,14,30,19,NORMAL,5343
15,00a236e7cdc1b52bc70cd23b245498be,1-716e13157bfe9b01a4c2404c8001de75,2018-11-21,Barra Funda,-23.5542,-46.6707,150407,66,43,43,24,38,42,37,32,NORMAL,5361
16,00a236e7cdc1b52bc70cd23b245c7763,1-5264caa6bfffd6a3c6f585d1219290d5,2018-5-25,Barra Funda,-23.5542,-46.6707,148097,34,50,46,24,22,3,22,9,NORMAL,5185
17,00a236e7cdc1b52bc70cd23b24629d13,1-27dbe213e10900ab40a5b6dae963ae2e,2019-6-2,Barra Funda,-23.5542,-46.6707,149817,24,6,6,23,43,33,43,25,REABASTECER,5552
18,00a236e7cdc1b52bc70cd23b2463ad61,1-af6b38890a31efaa2d394c0df7fdce7b,2019-11-22,Brás,-23.5451,-46.6162,70564,5,35,16,26,36,26,24,43,REABASTECER,5002
19,00ebceb10215faf258a928773400ddcc,1-de1112f3739860d358fba89bc14c6dfc,2018-9-6,Tamanduateí,-23.59290,-46.5897,50924,43,11,65,43,25,22,38,13,NORMAL,3126
20,00ebceb10215faf258a92877340239f0,1-2c30cb422afed611cf291444003d1b39,2019-12-10,Consolação,-23.5581,-46.6606,112424,45,37,17,24,37,16,15,5,REABASTECER,2860
21,00ebceb10215faf258a9287734042cdb,1-8495e67e0440472d7d1e1927790d03b1,2018-10-29,Tamanduateí,-23.59290,-46.5897,50449,30,28,23,14,25,15,30,22,NORMAL,3179
22,00ebceb10215faf258a928773407f76a,1-406d4c25452b1b56f964741cd1a5d416,2018-12-18,Tamanduateí,-23.59290,-46.5897,50904,86,27,58,32,40,31,5,43,NORMAL,3228
23,00ebceb10215faf258a92877340c7527,1-783d9a39a7f6ddb889d07d8ac77a6a0d,2018-4-30,Tamanduateí,-23.59290,-46.5897,51069,86,28,44,13,38,20,22,38,NORMAL,3000
24,00ebceb10215faf258a92877341ad32f,1-1dc51036f2983dc5075df97db0989b0e,2019-8-29,Tamanduateí,-23.59290,-46.5897,51990,31,63,53,31,33,14,32,4,REABASTECER,3479
